date,food_cos,beverage_cos,wine_cos,liquor_cos,beer_cos,total_cos
2011-01-12,432.0,0.0,0.0,0.0,0.0,432.0
2011-03-12,152.0,0.0,0.0,0.0,0.0,152.0
2011-06-09,0.0,0.0,2561.0,0.0,0.0,2561.0
2011-07-30,4.0,0.0,0.0,0.0,0.0,4.0
2011-08-04,576.0,0.0,0.0,101.0,0.0,677.0
2011-08-05,7.0,0.0,0.0,0.0,0.0,7.0
2011-08-06,31.0,0.0,0.0,0.0,0.0,31.0
2011-08-08,0.0,0.0,0.0,0.0,7.0,7.0
2011-08-09,3.0,0.0,0.0,18.0,0.0,21.0
2011-08-12,2.0,0.0,0.0,0.0,0.0,2.0
2011-08-13,0.0,0.0,0.0,7.0,0.0,7.0
2011-08-15,501.0,0.0,0.0,27.0,0.0,528.0
2011-08-16,6.0,0.0,0.0,0.0,0.0,6.0
2011-08-17,740.0,11.0,0.0,0.0,0.0,751.0
2011-08-18,184.0,0.0,0.0,0.0,0.0,184.0
2011-08-19,450.0,34.0,0.0,0.0,0.0,484.0
2011-08-20,272.0,0.0,0.0,0.0,0.0,272.0
2011-08-21,8.0,0.0,0.0,0.0,0.0,8.0
2011-08-22,812.0,0.0,0.0,28.0,0.0,840.0
2011-08-23,263.0,0.0,0.0,0.0,0.0,263.0
2011-08-24,752.0,0.0,0.0,0.0,0.0,752.0
2011-08-26,80.0,0.0,0.0,58.0,0.0,138.0
2011-08-28,65.0,0.0,0.0,0.0,350.0,415.0
2011-08-30,54.0,0.0,0.0,0.0,0.0,54.0
2011-09-01,410.0,0.0,182.0,0.0,0.0,592.0
2011-09-02,205.0,0.0,0.0,0.0,69.0,274.0
2011-09-06,636.0,0.0,0.0,0.0,235.0,871.0
2011-09-07,3116.0,0.0,1666.0,1562.0,338.0,6682.0
2011-09-08,1862.0,257.0,3552.0,474.0,735.0,6880.0
2011-09-09,1783.0,0.0,5090.0,39.0,0.0,6912.0
2011-09-10,300.0,0.0,0.0,17.0,0.0,317.0
2011-09-11,26.0,28.0,0.0,0.0,0.0,54.0
2011-09-12,318.0,0.0,1455.0,0.0,0.0,1773.0
2011-09-13,552.0,0.0,296.0,0.0,0.0,848.0
2011-09-14,377.0,0.0,112.0,0.0,334.0,823.0
2011-09-15,120.0,0.0,737.0,0.0,0.0,857.0
2011-09-16,1264.0,17.0,0.0,425.0,0.0,1706.0
2011-09-17,303.0,0.0,0.0,131.0,0.0,434.0
2011-09-18,-40.0,0.0,0.0,0.0,338.0,298.0
2011-09-19,25.0,0.0,1041.0,0.0,0.0,1066.0
2011-09-20,1108.0,0.0,1363.0,0.0,0.0,2471.0
2011-09-21,1503.0,51.0,0.0,242.0,0.0,1796.0
2011-09-22,909.0,26.0,0.0,0.0,0.0,935.0
2011-09-23,498.0,0.0,1548.0,0.0,0.0,2046.0
2011-09-24,499.0,0.0,0.0,0.0,0.0,499.0
2011-09-25,110.0,0.0,0.0,0.0,0.0,110.0
2011-09-26,304.0,0.0,364.0,32.0,0.0,700.0
2011-09-27,801.0,0.0,680.0,173.0,0.0,1654.0
2011-09-28,893.0,0.0,1300.0,191.0,234.0,2618.0
2011-09-29,35.0,0.0,0.0,0.0,0.0,35.0
2011-09-30,1037.0,0.0,774.0,55.0,0.0,1866.0
2011-10-01,1328.0,0.0,1790.0,0.0,676.0,3794.0
2011-10-02,0.0,143.0,0.0,0.0,0.0,143.0
2011-10-03,0.0,0.0,0.0,341.0,0.0,341.0
2011-10-04,930.0,0.0,0.0,0.0,0.0,930.0
2011-10-05,1349.0,59.0,0.0,0.0,0.0,1408.0
2011-10-06,945.0,0.0,0.0,0.0,0.0,945.0
2011-10-07,1443.0,0.0,0.0,363.0,0.0,1806.0
2011-10-08,10.0,0.0,411.0,0.0,0.0,421.0
2011-10-10,273.0,0.0,0.0,0.0,0.0,273.0
2011-10-11,389.0,0.0,181.0,195.0,152.0,917.0
2011-10-12,796.0,0.0,2000.0,0.0,0.0,2796.0
2011-10-13,697.0,0.0,641.0,0.0,0.0,1338.0
2011-10-14,882.0,0.0,0.0,0.0,0.0,882.0
2011-10-15,272.0,0.0,0.0,0.0,0.0,272.0
2011-10-16,55.0,0.0,0.0,0.0,0.0,55.0
2011-10-17,0.0,0.0,932.0,0.0,0.0,932.0
2011-10-18,502.0,0.0,209.0,342.0,219.0,1272.0
2011-10-19,834.0,0.0,581.0,0.0,0.0,1415.0
2011-10-20,499.0,0.0,0.0,159.0,0.0,658.0
2011-10-21,1667.0,17.0,350.0,33.0,338.0,2405.0
2011-10-22,200.0,0.0,0.0,0.0,0.0,200.0
2011-10-25,1338.0,0.0,1310.0,200.0,0.0,2848.0
2011-10-26,948.0,42.0,0.0,133.0,0.0,1123.0
2011-10-27,455.0,0.0,364.0,0.0,0.0,819.0
2011-10-28,522.0,0.0,0.0,0.0,0.0,522.0
2011-10-29,259.0,23.0,0.0,0.0,0.0,282.0
2011-10-30,5.0,0.0,0.0,0.0,0.0,5.0
2011-10-31,0.0,0.0,322.0,0.0,0.0,322.0
2011-11-01,1234.0,111.0,316.0,64.0,0.0,1725.0
2011-11-02,356.0,0.0,545.0,182.0,0.0,1083.0
2011-11-03,1234.0,0.0,0.0,0.0,0.0,1234.0
2011-11-04,270.0,0.0,0.0,0.0,0.0,270.0
2011-11-05,1379.0,18.0,0.0,0.0,0.0,1397.0
2011-11-06,154.0,0.0,0.0,0.0,0.0,154.0
2011-11-07,0.0,0.0,1154.0,55.0,0.0,1209.0
2011-11-08,151.0,0.0,1621.0,109.0,0.0,1881.0
2011-11-09,359.0,0.0,688.0,0.0,0.0,1047.0
2011-11-10,1575.0,72.0,935.0,1227.0,146.0,3955.0
2011-11-11,225.0,177.0,0.0,0.0,492.0,894.0
2011-11-12,365.0,225.0,0.0,0.0,0.0,590.0
2011-11-15,1009.0,0.0,1170.0,642.0,0.0,2821.0
2011-11-16,344.0,11.0,242.0,0.0,0.0,597.0
2011-11-17,282.0,8.0,0.0,21.0,0.0,311.0
2011-11-18,436.0,0.0,0.0,0.0,0.0,436.0
2011-11-19,277.0,0.0,0.0,0.0,0.0,277.0
2011-11-21,-100.0,14.0,0.0,0.0,0.0,-86.0
2011-11-22,673.0,0.0,1063.0,0.0,0.0,1736.0
2011-11-23,325.0,0.0,533.0,1017.0,0.0,1875.0
2011-11-24,871.0,0.0,0.0,0.0,315.0,1186.0
2011-11-25,152.0,18.0,363.0,0.0,0.0,533.0
2011-11-26,521.0,5.0,0.0,22.0,0.0,548.0
2011-11-28,292.0,0.0,692.0,281.0,0.0,1265.0
2011-11-29,284.0,0.0,364.0,0.0,490.0,1138.0
2011-11-30,5.0,2.0,0.0,0.0,0.0,7.0
2011-12-01,920.0,0.0,551.0,0.0,0.0,1471.0
2011-12-02,807.0,0.0,0.0,0.0,0.0,807.0
2011-12-03,913.0,0.0,0.0,0.0,0.0,913.0
2011-12-04,2.0,0.0,0.0,0.0,0.0,2.0
2011-12-05,0.0,0.0,462.0,0.0,0.0,462.0
2011-12-06,698.0,0.0,387.0,0.0,0.0,1085.0
2011-12-07,519.0,0.0,447.0,0.0,0.0,966.0
2011-12-08,566.0,20.0,0.0,0.0,0.0,586.0
2011-12-09,1321.0,108.0,2717.0,196.0,0.0,4342.0
2011-12-10,481.0,18.0,0.0,65.0,0.0,564.0
2011-12-12,151.0,0.0,545.0,0.0,0.0,696.0
2011-12-13,908.0,6.0,366.0,0.0,0.0,1280.0
2011-12-14,1808.0,0.0,363.0,594.0,67.0,2832.0
2011-12-15,333.0,0.0,364.0,41.0,0.0,738.0
