Date,Account,Debit,Credit
08-09-11,Food Sales,,1284
09-09-11,Food Sales,,1829
10-09-11,Food Sales,,4727
11-09-11,Food Sales,,4259
13-09-11,Food Sales,,1892
14-09-11,Food Sales,,1358
15-09-11,Food Sales,,1958
16-09-11,Food Sales,,2733
17-09-11,Food Sales,,3116
18-09-11,Food Sales,,3376
20-09-11,Food Sales,,2041
21-09-11,Food Sales,,2288
22-09-11,Food Sales,,2818
23-09-11,Food Sales,,2268
24-09-11,Food Sales,,3950
25-09-11,Food Sales,,2480
27-09-11,Food Sales,,1851
28-09-11,Food Sales,,1868
29-09-11,Food Sales,,2378
30-09-11,Food Sales,,3565
30-09-11,Food Sales,3099,
01-10-11,Food Sales,,3859
02-10-11,Food Sales,,2298
04-10-11,Food Sales,,3148
05-10-11,Food Sales,,3380
06-10-11,Food Sales,,2876
07-10-11,Food Sales,,4327
08-10-11,Food Sales,,2411
11-10-11,Food Sales,,1450
12-10-11,Food Sales,,2208
13-10-11,Food Sales,,1758
14-10-11,Food Sales,,5147
15-10-11,Food Sales,,3568
16-10-11,Food Sales,,1908
18-10-11,Food Sales,,2277
19-10-11,Food Sales,,1536
20-10-11,Food Sales,,1801
21-10-11,Food Sales,,2992
22-10-11,Food Sales,,3466
23-10-11,Food Sales,,1713
25-10-11,Food Sales,,1281
26-10-11,Food Sales,,1394
27-10-11,Food Sales,,1438
28-10-11,Food Sales,,3217
29-10-11,Food Sales,,3214
30-10-11,Food Sales,,2277
31-10-11,Food Sales,4825,
01-11-11,Food Sales,,1569
02-11-11,Food Sales,,1305
03-11-11,Food Sales,,1366
04-11-11,Food Sales,,3218
05-11-11,Food Sales,,4316
06-11-11,Food Sales,,871
08-11-11,Food Sales,,1374
09-11-11,Food Sales,,1853
10-11-11,Food Sales,,2474
11-11-11,Food Sales,,3353
11-11-11,Food Sales,,1850
12-11-11,Food Sales,,2934
15-11-11,Food Sales,,816
16-11-11,Food Sales,,3283
16-11-11,Food Sales,,1500
17-11-11,Food Sales,,1003
18-11-11,Food Sales,,2709
19-11-11,Food Sales,,3320
20-11-11,Food Sales,,1526
22-11-11,Food Sales,,1359
23-11-11,Food Sales,,2055
24-11-11,Food Sales,,2507
25-11-11,Food Sales,,3622
26-11-11,Food Sales,,3933
27-11-11,Food Sales,,2437
29-11-11,Food Sales,,2138
30-11-11,Food Sales,,1864
30-11-11,Food Sales,3392,
01-12-11,Food Sales,,2224
02-12-11,Food Sales,,3690
03-12-11,Food Sales,,4330
04-12-11,Food Sales,,1241
06-12-11,Food Sales,,2196
07-12-11,Food Sales,,3139
08-12-11,Food Sales,,18
09-12-11,Food Sales,,3962
09-12-11,Food Sales,,3505
10-12-11,Food Sales,,1519
11-12-11,Food Sales,,3449
13-12-11,Food Sales,,1908
14-12-11,Food Sales,,3194
15-12-11,Food Sales,,2680
16-12-11,Food Sales,,2904
17-12-11,Food Sales,,3717
18-12-11,Food Sales,,1743
20-12-11,Food Sales,,2459
21-12-11,Food Sales,,3405
22-12-11,Food Sales,,2012
23-12-11,Food Sales,,2507
29-12-11,Food Sales,,2527
30-12-11,Food Sales,,2378
31-12-11,Food Sales,,3904
31-12-11,Food Sales,1517,
31-12-11,Food Sales,18742,
31-12-11,Food Sales,,18742
05-01-12,Food Sales,,2845
06-01-12,Food Sales,,3928
07-01-12,Food Sales,,5116
08-01-12,Food Sales,,1302
10-01-12,Food Sales,,1487
12-01-12,Food Sales,,1928
12-01-12,Food Sales,,3084
13-01-12,Food Sales,,3214
