date,food_sales,beverage_sales,wine_sales,liquor_sales,beer_sales,total_sales,date,dow
2011-09-08,1284.0,60.0,634.0,73.0,131.0,2182.0,2011-09-08,Thu
2011-09-09,1829.0,102.0,934.0,71.0,96.0,3032.0,2011-09-09,Fri
2011-09-10,4727.0,189.0,2061.0,74.0,189.0,7240.0,2011-09-10,Sat
2011-09-11,4259.0,178.0,1055.0,177.0,190.0,5859.0,2011-09-11,Sun
2011-09-13,1892.0,95.0,983.0,126.0,129.0,3225.0,2011-09-13,Tue
2011-09-14,1358.0,75.0,646.0,20.0,44.0,2143.0,2011-09-14,Wed
2011-09-15,1958.0,89.0,1507.0,42.0,45.0,3641.0,2011-09-15,Thu
2011-09-16,2733.0,123.0,1559.0,161.0,63.0,4639.0,2011-09-16,Fri
2011-09-17,3116.0,146.0,1417.0,142.0,128.0,4949.0,2011-09-17,Sat
2011-09-18,3376.0,169.0,1806.0,147.0,121.0,5619.0,2011-09-18,Sun
2011-09-20,2041.0,102.0,994.0,46.0,80.0,3263.0,2011-09-20,Tue
2011-09-21,2288.0,100.0,909.0,192.0,54.0,3543.0,2011-09-21,Wed
2011-09-22,2818.0,138.0,1878.0,83.0,190.0,5107.0,2011-09-22,Thu
2011-09-23,2268.0,-193.0,1602.0,136.0,98.0,3911.0,2011-09-23,Fri
2011-09-24,3950.0,210.0,2347.0,110.0,167.0,6784.0,2011-09-24,Sat
2011-09-25,2480.0,129.0,1103.0,111.0,116.0,3939.0,2011-09-25,Sun
2011-09-27,1851.0,92.0,710.0,148.0,117.0,2918.0,2011-09-27,Tue
2011-09-28,1868.0,72.0,964.0,204.0,145.0,3253.0,2011-09-28,Wed
2011-09-29,2378.0,109.0,1124.0,73.0,25.0,3709.0,2011-09-29,Thu
2011-09-30,466.0,177.0,2167.0,3344.0,109.0,6263.0,2011-09-30,Fri
2011-10-01,3859.0,230.0,1540.0,188.0,122.0,5939.0,2011-10-01,Sat
2011-10-02,2298.0,148.0,1038.0,131.0,62.0,3677.0,2011-10-02,Sun
2011-10-04,3148.0,86.0,964.0,125.0,7.0,4330.0,2011-10-04,Tue
2011-10-05,3380.0,131.0,1619.0,148.0,185.0,5463.0,2011-10-05,Wed
2011-10-06,2876.0,159.0,1566.0,180.0,82.0,4863.0,2011-10-06,Thu
2011-10-07,4327.0,193.0,2008.0,887.0,102.0,7517.0,2011-10-07,Fri
2011-10-08,2411.0,115.0,1614.0,206.0,45.0,4391.0,2011-10-08,Sat
2011-10-11,1450.0,61.0,759.0,153.0,20.0,2443.0,2011-10-11,Tue
2011-10-12,2208.0,133.0,983.0,194.0,94.0,3612.0,2011-10-12,Wed
2011-10-13,1758.0,146.0,1017.0,178.0,100.0,3199.0,2011-10-13,Thu
2011-10-14,5147.0,160.0,2242.0,440.0,230.0,8219.0,2011-10-14,Fri
2011-10-15,3568.0,220.0,1517.0,191.0,135.0,5631.0,2011-10-15,Sat
2011-10-16,1908.0,82.0,760.0,126.0,59.0,2935.0,2011-10-16,Sun
2011-10-18,2277.0,94.0,854.0,100.0,50.0,3375.0,2011-10-18,Tue
2011-10-19,1536.0,104.0,597.0,120.0,69.0,2426.0,2011-10-19,Wed
2011-10-20,1801.0,67.0,886.0,262.0,71.0,3087.0,2011-10-20,Thu
2011-10-21,2992.0,196.0,1908.0,225.0,117.0,5438.0,2011-10-21,Fri
2011-10-22,3466.0,173.0,1396.0,376.0,173.0,5584.0,2011-10-22,Sat
2011-10-23,1713.0,84.0,653.0,60.0,89.0,2599.0,2011-10-23,Sun
