date,food_sales,beverage_sales,wine_sales,liquor_sales,beer_sales,total_sales,date,month
2011-09-30,48940.0,2162.0,26400.0,5480.0,2237.0,85219.0,2011-09-30,9
2011-10-31,64944.0,3222.0,29866.0,5435.0,2222.0,105689.0,2011-10-31,10
2011-11-30,57163.0,3189.0,27308.0,8135.0,2453.0,98248.0,2011-11-30,11
2011-12-31,63094.0,3527.0,30476.0,6749.0,1839.0,105685.0,2011-12-31,12
2012-01-31,57403.0,2844.0,27069.0,5773.0,2104.0,95193.0,2012-01-31,1
2012-02-29,54102.0,2811.0,26043.0,5356.0,1772.0,90084.0,2012-02-29,2
2012-03-31,78667.0,3978.0,36717.0,7580.0,3036.0,129978.0,2012-03-31,3
2012-04-30,80250.0,3847.0,40364.0,5996.0,2680.0,133137.0,2012-04-30,4
2012-05-31,94069.0,5438.0,45502.0,7120.0,3765.0,155894.0,2012-05-31,5
2012-06-30,104855.0,6061.0,54165.0,9831.0,3702.0,178614.0,2012-06-30,6
2012-07-31,86656.0,5192.0,41591.0,9461.0,4078.0,146978.0,2012-07-31,7
2012-08-31,97324.0,5408.0,45371.0,10683.0,3921.0,162707.0,2012-08-31,8
2012-09-30,91336.0,5275.0,43881.0,7741.0,3027.0,151260.0,2012-09-30,9
2012-10-31,68291.0,2648.0,37018.0,5278.0,1707.0,114942.0,2012-10-31,10
2012-11-30,75526.0,2522.0,42703.0,6718.0,1724.0,129193.0,2012-11-30,11
2012-12-31,78871.0,2272.0,50744.0,9442.0,1913.0,143242.0,2012-12-31,12
2013-01-31,60320.0,1779.0,32964.0,6570.0,1307.0,102940.0,2013-01-31,1
2013-02-28,60975.0,3088.0,32458.0,6508.0,1557.0,104586.0,2013-02-28,2
2013-03-31,67195.0,3774.0,36766.0,5455.0,1375.0,114565.0,2013-03-31,3
2013-04-30,67975.0,3867.0,36595.0,6623.0,2078.0,117138.0,2013-04-30,4
2013-05-31,88252.0,4972.0,44527.0,8211.0,2732.0,148694.0,2013-05-31,5
2013-06-30,93449.0,4945.0,42206.0,10053.0,4035.0,154688.0,2013-06-30,6
2013-07-31,84731.0,4626.0,40865.0,10008.0,3784.0,144014.0,2013-07-31,7
2013-08-31,89791.0,4759.0,41307.0,8921.0,3684.0,148462.0,2013-08-31,8
2013-09-30,77047.0,3820.0,37841.0,7769.0,2629.0,129106.0,2013-09-30,9
2013-10-31,69709.0,3514.0,36975.0,5141.0,2843.0,118182.0,2013-10-31,10
2013-11-30,75003.0,3571.0,39061.0,5469.0,1589.0,124693.0,2013-11-30,11
2013-12-31,70176.0,3296.0,40913.0,5519.0,1531.0,121435.0,2013-12-31,12
2014-01-31,55113.0,2389.0,28798.0,3920.0,1354.0,91574.0,2014-01-31,1
2014-02-28,58342.0,2563.0,27187.0,3679.0,1393.0,93164.0,2014-02-28,2
2014-03-31,60524.0,3202.0,29597.0,5529.0,1369.0,100221.0,2014-03-31,3
2014-04-30,64721.0,3048.0,29859.0,4532.0,1693.0,103853.0,2014-04-30,4
2014-05-31,89024.0,4474.0,41559.0,7586.0,2532.0,145175.0,2014-05-31,5
2014-06-30,86439.0,4652.0,39587.0,8118.0,3096.0,141892.0,2014-06-30,6
2014-07-31,81668.0,3816.0,37442.0,7415.0,3443.0,133784.0,2014-07-31,7
2014-08-31,88591.0,3816.0,39160.0,8436.0,2998.0,143001.0,2014-08-31,8
2014-09-30,77009.0,3149.0,37153.0,5600.0,2619.0,125530.0,2014-09-30,9
2014-10-31,55356.0,2638.0,29850.0,3843.0,1613.0,93300.0,2014-10-31,10
2014-11-30,58887.0,3041.0,28147.0,3219.0,1491.0,94785.0,2014-11-30,11
2014-12-31,61920.0,3068.0,31791.0,5766.0,1753.0,104298.0,2014-12-31,12
2015-01-31,48515.0,2443.0,26934.0,3424.0,1582.0,82898.0,2015-01-31,1
2015-02-28,47129.0,1903.0,26468.0,4265.0,958.0,80723.0,2015-02-28,2
2015-03-31,48678.0,2217.0,28041.0,2759.0,1434.0,83129.0,2015-03-31,3
2015-04-30,51936.0,2602.0,30482.0,3677.0,1583.0,90280.0,2015-04-30,4
2015-05-31,93049.0,4406.0,44108.0,9039.0,3244.0,153846.0,2015-05-31,5
2015-06-30,89159.0,4237.0,48606.0,5359.0,3475.0,150836.0,2015-06-30,6
2015-07-31,76976.0,3270.0,39454.0,5276.0,3151.0,128127.0,2015-07-31,7
2015-08-31,80986.0,3472.0,45035.0,5034.0,3834.0,138361.0,2015-08-31,8
2015-09-30,69353.0,2917.0,42925.0,6589.0,3529.0,125313.0,2015-09-30,9
2015-10-31,57967.0,2353.0,34096.0,3977.0,1299.0,99692.0,2015-10-31,10
2015-11-30,59720.0,2677.0,32567.0,3700.0,1685.0,100349.0,2015-11-30,11
2015-12-31,76922.0,3465.0,45599.0,5961.0,2241.0,134188.0,2015-12-31,12
2016-01-31,52323.0,2450.0,28768.0,2963.0,1145.0,87649.0,2016-01-31,1
2016-02-29,22918.0,832.0,12231.0,1278.0,450.0,37709.0,2016-02-29,2
